appearance_id,game_id,player_id,yellow_cards,red_cards,goals,assists,minutes_played,game_event_id,minute,description,player_in_id,player_assist_id,season,round,date,home_club_goals,away_club_goals,home_club_position,away_club_position,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,home_club_formation,away_club_formation,home_club_name,away_club_name,aggregate,competition_type,game_lineups_id,number,team_captain,name,last_season,current_club_id,player_code,country_of_birth,date_of_birth,sub_position,foot,height_in_cm,market_value_in_eur,highest_market_value_in_eur,contract_expiration_date,agent_name
2581973_315779,2581973,315779,1,0,1,0,76,cc990d462d3b0e02f00e8d410b3b53df,76,,82243,,2015,31. Matchday,2016-04-23 00:00:00,0,3,15,2,Jurgen Kramny,Thomas Tuchel,Mercedes-Benz Arena,60449,Daniel Siebert,,,Verein  Bewegungsspiele Stuttgart 1893,Borussia Dortmund,00:03:00,domestic_league,,,,Christian Pulisic,2023,5,christian-pulisic,United States,1998-09-18 00:00:00,Right Winger,right,177,25000000,60000000,2027-06-30 00:00:00,
2581977_58500,2581977,58500,0,0,1,0,90,c356fcb9e46bcc55da1f61cfa7d21930,10,", Header, 1. Goal of the Season",,,2015,31. Matchday,2016-04-23 00:00:00,2,2,9,18,Ralph Hasenhuttl,Daniel Stendel,Audi Sportpark,14831,Sascha Stegemann,,,FC Ingolstadt 04,Hannover 96,02:02:00,domestic_league,,,,Alfredo Morales,2019,38,alfredo-morales,Germany,1990-05-12 00:00:00,Central Midfield,right,183,800000,3500000,2023-12-31 00:00:00,Wasserman
2681172_131183,2681172,131183,1,0,0,0,90,,,,,,2015,34. Matchday,2016-04-23 00:00:00,1,0,4,3,Mark McGhee,Robbie Neilson,Fir Park,5125,Andrew Dallas,,,Motherwell Football Club,Heart of Midlothian Football Club,01:00:00,domestic_league,,,,Perry Kitchen,2017,5724,perry-kitchen,United States,1992-02-29 00:00:00,Defensive Midfield,right,183,,800000,,YMU Group
2578242_255916,2578242,255916,0,0,0,0,90,,,,,,2015,35. Matchday,2016-04-24 00:00:00,0,0,17,4,Sam Allardyce,Arsene Wenger,Stadium of Light,45420,Mike Dean,,,Sunderland AFC,Arsenal Football Club,00:00:00,domestic_league,,,,DeAndre Yedlin,2021,141,deandre-yedlin,United States,1993-07-09 00:00:00,Right-Back,right,173,2000000,8000000,2025-12-31 00:00:00,Mega Sports
2581352_265671,2581352,265671,1,1,0,0,90,,,,,,2015,26. Matchday,2016-04-24 00:00:00,1,1,9,1,Johnny Ma,Stale Solbakken,Viborg Stadion,4437,Michael Johansen,,,Viborg Fodsports Forening,Football Club Ka Benhavn,01:01:00,domestic_league,,,,George Fochive,2016,1063,george-fochive,United States,1992-03-24 00:00:00,Central Midfield,,175,200000,400000,,PROSPORT Management
2581970_31041,2581970,31041,0,0,0,0,9,,,,,,2015,31. Matchday,2016-04-24 00:00:00,3,1,5,14,Andre Schubert,Julian Nagelsmann,Stadion im Borussia-Park,53144,Robert Hartmann,,,Borussia Verein für Leibesübung 1900 e.V.,tsg 1899 hoffenheim football spielbetriebs Gmbh,03:01:00,domestic_league,,,,Fabian Johnson,2019,18,fabian-johnson,Germany,1987-12-11 00:00:00,Left Winger,right,183,,7000000,,Robert Schneider
2609817_111783,2609817,111783,0,0,0,0,15,,,,,,2015,35. Matchday,2016-04-24 00:00:00,1,1,16,10,Franck Passi,Michel Der Zakarian,"Orange Velodrome,stadium",19898,Stephane Lannoy,,,Olympique de Marseille,Football Club de Nantes,01:01:00,domestic_league,,,,Alejandro Bedoya,2015,995,alejandro-bedoya,United States,1987-04-29 00:00:00,Central Midfield,right,182,300000,2500000,2023-12-31 00:00:00,YMU Group
2578245_4267,2578245,4267,0,0,0,0,90,,,,,,2015,36. Matchday,2016-04-30 00:00:00,2,1,11,15,Roberto Martínez,Eddie Howe,Goodison Park,38345,Neil Swarbrick,,,Everton Football Club,Association Football Club Bournemouth,02:01:00,domestic_league,,,,Tim Howard,2015,29,tim-howard,United States,1979-03-06 00:00:00,Goalkeeper,right,191,,10000000,,Wasserman
2578281_255916,2578281,255916,0,0,0,0,90,,,,,,2015,36. Matchday,2016-04-30 00:00:00,1,1,10,17,Mark Hughes,Sam Allardyce,bet365 Stadium,27667,Craig Pawson,,,Stoke City,Sunderland AFC,01:01:00,domestic_league,,,,DeAndre Yedlin,2021,141,deandre-yedlin,United States,1993-07-09 00:00:00,Right-Back,right,173,2000000,8000000,2025-12-31 00:00:00,Mega Sports
2578281_31642,2578281,31642,0,0,0,0,90,,,,,,2015,36. Matchday,2016-04-30 00:00:00,1,1,10,17,Mark Hughes,Sam Allardyce,bet365 Stadium,27667,Craig Pawson,,,Stoke City,Sunderland AFC,01:01:00,domestic_league,,,,Geoff Cameron,2017,512,geoff-cameron,United States,1985-07-11 00:00:00,Centre-Back,right,190,,5000000,,CMG Sports
2581359_140069,2581359,140069,0,0,0,0,90,,,,,,2015,27. Matchday,2016-04-30 00:00:00,1,2,12,2,Ove Pedersen,Jakob Michelsen,DS Arena,1327,Anders Poulsen,,,Hobro IK,Sonderjyske Fc,01:02:00,domestic_league,,,,Babajide Ogunbiyi,2015,5818,babajide-ogunbiyi,United States,1986-11-30 00:00:00,Centre-Back,right,193,,300000,,
2581984_58500,2581984,58500,0,0,0,0,90,,,,,,2015,32. Matchday,2016-04-30 00:00:00,2,1,13,9,Julian Nagelsmann,Ralph Hasenhuttl,PreZero Arena,26561,Bastian Dankert,,,TSG 1899 Hoffenheim Football-Spielbetriebs GmbH,FC Ingolstadt 04,02:01:00,domestic_league,,,,Alfredo Morales,2019,38,alfredo-morales,Germany,1990-05-12 00:00:00,Central Midfield,right,183,800000,3500000,2023-12-31 00:00:00,Wasserman
2609825_111783,2609825,111783,0,0,0,0,90,,,,,,2015,36. Matchday,2016-04-30 00:00:00,1,0,9,5,Michel Der Zakarian,Claude Puel,Stade de la Beaujoire,1442,Antony Gautier,,,Football Club de Nantes,Olympique Gymnaste club Nice Cote d'azur,01:00:00,domestic_league,,,,Alejandro Bedoya,2015,995,alejandro-bedoya,United States,1987-04-29 00:00:00,Central Midfield,right,182,300000,2500000,2023-12-31 00:00:00,YMU Group
2681464_131183,2681464,131183,0,0,0,0,90,,,,,,2015,35. Matchday,2016-04-30 00:00:00,1,3,3,1,Robbie Neilson,Ronny Deila,Tynecastle Park,16527,Alan Muir,,,Heart of Midlothian Football Club,The Celtic Football Club,01:03:00,domestic_league,,,,Perry Kitchen,2017,5724,perry-kitchen,United States,1992-02-29 00:00:00,Defensive Midfield,right,183,,800000,,YMU Group
2578269_31642,2578269,31642,0,0,0,0,90,,,,,,2015,37. Matchday,2016-05-07 00:00:00,2,1,14,10,Alan Pardew,Mark Hughes,Selhurst Park,23990,Kevin Friend,,,Crystal Palace Football Club,Stoke City,02:01:00,domestic_league,,,,Geoff Cameron,2017,512,geoff-cameron,United States,1985-07-11 00:00:00,Centre-Back,right,190,,5000000,,CMG Sports
2578288_255916,2578288,255916,0,0,0,0,90,,,,,,2015,37. Matchday,2016-05-07 00:00:00,3,2,17,9,Sam Allardyce,Guus Hiddink,Stadium of Light,47050,Mike Jones,,,Sunderland AFC,Chelsea Football Club,03:02:00,domestic_league,,,,DeAndre Yedlin,2021,141,deandre-yedlin,United States,1993-07-09 00:00:00,Right-Back,right,173,2000000,8000000,2025-12-31 00:00:00,Mega Sports
2581367_140069,2581367,140069,0,0,0,0,90,,,,,,2015,28. Matchday,2016-05-07 00:00:00,2,0,6,12,Colin Todd,Ove Pedersen,Cepheus Park Randers,4599,Jorgen Daugbjerg Burchardt,,,Randers Fodbold Club,Hobro IK,02:00:00,domestic_league,,,,Babajide Ogunbiyi,2015,5818,babajide-ogunbiyi,United States,1986-11-30 00:00:00,Centre-Back,right,193,,300000,,
2581991_315779,2581991,315779,0,0,0,0,25,,,,,,2015,33. Matchday,2016-05-07 00:00:00,1,0,15,2,Niko Kovac,Thomas Tuchel,Commerzbank Arena,51500,Daniel Siebert,,,Eintracht Frankfurt Fuayball AG,Borussia Dortmund,01:00:00,domestic_league,,,,Christian Pulisic,2023,5,christian-pulisic,United States,1998-09-18 00:00:00,Right Winger,right,177,25000000,60000000,2027-06-30 00:00:00,
2581991_49723,2581991,49723,1,0,0,0,31,,,,,,2015,33. Matchday,2016-05-07 00:00:00,1,0,15,2,Niko Kovac,Thomas Tuchel,Commerzbank Arena,51500,Daniel Siebert,,,Eintracht Frankfurt Fuayball AG,Borussia Dortmund,01:00:00,domestic_league,,,,Timothy Chandler,2023,24,timothy-chandler,Germany,1990-03-29 00:00:00,Right-Back,right,186,700000,5000000,2025-06-30 00:00:00,
2581994_124732,2581994,124732,0,0,0,0,90,,,,,,2015,33. Matchday,2016-05-07 00:00:00,1,2,6,13,Pal Dardai,Dirk Schuster,Olympiastadion Berlin,60280,Dr. Felix Brych,,,Hertha BSC,Sportverein Darmstadt 1898 e. V.,01:02:00,domestic_league,,,,John Anthony Brooks,2023,533,john-anthony-brooks,Germany,1993-01-28 00:00:00,Centre-Back,left,194,2000000,15000000,2024-06-30 00:00:00,ROGON
2581995_58500,2581995,58500,0,0,0,0,27,,,,,,2015,33. Matchday,2016-05-07 00:00:00,1,2,10,1,Ralph Hasenhuttl,Pep Guardiola,Audi Sportpark,15617,Florian Meyer,,,FC Ingolstadt 04,FC Bayern Munich,01:02:00,domestic_league,,,,Alfredo Morales,2019,38,alfredo-morales,Germany,1990-05-12 00:00:00,Central Midfield,right,183,800000,3500000,2023-12-31 00:00:00,Wasserman
2609831_111783,2609831,111783,0,0,1,0,90,ffcc51e20b4b267c7137b3579a709b5c,78,", Right-footed shot, 3. Goal of the Season",,,2015,37. Matchday,2016-05-07 00:00:00,1,2,12,8,Michel Der Zakarian,Patrice Garande,Stade de la Beaujoire,30321,Johan Hamel,,,Football Club de Nantes,SM Caen,01:02:00,domestic_league,,,,Alejandro Bedoya,2015,995,alejandro-bedoya,United States,1987-04-29 00:00:00,Central Midfield,right,182,300000,2500000,2023-12-31 00:00:00,YMU Group
2681472_131183,2681472,131183,0,0,0,0,90,,,,,,2015,36. Matchday,2016-05-07 00:00:00,1,1,3,8,Robbie Neilson,Jim McIntyre,Tynecastle Park,15438,Nick Walsh,,,Heart of Midlothian Football Club,Ross County Football Club,01:01:00,domestic_league,,,,Perry Kitchen,2017,5724,perry-kitchen,United States,1992-02-29 00:00:00,Defensive Midfield,right,183,,800000,,YMU Group
